,conv_dim,num_layer,lr,node_dim
0,32,3,0.0009,75
1,32,3,0.001,75
2,32,3,0.0015,75
3,32,4,0.0009,75
4,32,4,0.001,75
5,32,4,0.0015,75
6,32,5,0.0009,75
7,32,5,0.001,75
8,32,5,0.0015,75
9,64,3,0.0009,75
10,64,3,0.001,75
11,64,3,0.0015,75
12,64,4,0.0009,75
13,64,4,0.001,75
14,64,4,0.0015,75
15,64,5,0.0009,75
16,64,5,0.001,75
17,64,5,0.0015,75
18,128,3,0.0009,75
19,128,3,0.001,75
20,128,3,0.0015,75
21,128,4,0.0009,75
22,128,4,0.001,75
23,128,4,0.0015,75
24,128,5,0.0009,75
25,128,5,0.001,75
26,128,5,0.0015,75
